Name,Nationality,Overall,Club,Value,Position
M. Mudryk,Ukraine,62,Shakhtar Donetsk,€650K,CAM
V. Tankovskyi,Ukraine,62,Shakhtar Donetsk,€450K,CM
S. Kavanagh,Republic of Ireland,62,Shamrock Rovers,€325K,LB
G. Bolger,Republic of Ireland,62,Shamrock Rovers,€240K,LDM
Li Peng,China PR,62,Shanghai Greenland Shenhua FC,€300K,RCB
Sun Shilin,China PR,62,Shanghai Greenland Shenhua FC,€240K,RDM
Gao Di,China PR,62,Shanghai Greenland Shenhua FC,€325K,ST
Lin Chuangyi,China PR,62,Shanghai SIPG FC,€400K,CAM
A. Baker,Wales,62,Sheffield Wednesday,€450K,RB
H. Futami,Japan,62,Shimizu S-Pulse,€260K,CB
H. Ishige,Japan,62,Shimizu S-Pulse,€400K,LM
K. Ono,Japan,62,Shonan Bellmare,€250K,LCB
M. Yamane,Japan,62,Shonan Bellmare,€350K,RCB
J. Laurent,England,62,Shrewsbury,€400K,CAM
K. Kennedy,England,62,Shrewsbury,€325K,CB
Thallyson,Brazil,62,Sint-Truidense VV,€290K,LB
E. Ye?ilyurt,Germany,62,Sivasspor,€375K,RM
D. Petrovic,Serbia,62,SKN St. Pölten,€350K,CB
P. Puchegger,Austria,62,SKN St. Pölten,€350K,LB
D. Schütz,Austria,62,SKN St. Pölten,€325K,LM
S. Ingolitsch,Austria,62,SKN St. Pölten,€350K,RM
E. Bajrami,FYR Macedonia,62,SKN St. Pölten,€350K,RM
R. Murray,Republic of Ireland,62,Sligo Rovers,€375K,ST
R. Charles-Cook,England,62,SønderjyskE,€270K,GK
João Pereira,Portugal,62,SønderjyskE,€240K,LB
H. Kyprianou,Cyprus,62,Southend United,€375K,CB
S. Hendrie,Scotland,62,Southend United,€325K,LB
S. Barratt,England,62,Southend United,€400K,LM
E. Bwomono,England,62,Southend United,€500K,RB
S. McCoulsky,England,62,Southend United,€450K,ST
E. ?ivi?,Bosnia Herzegovina,62,Sparta Praha,€450K,LM
M. Erlic,Croatia,62,Spezia,€400K,CB
Tiagildo Serra,Brazil,62,Sport Club do Recife,€290K,ST
J. Torres,United States,62,Sporting Lokeren,€475K,CDM
D. Steininger,Germany,62,SpVgg Greuther Fürth,€450K,RM
M. Bauer,Germany,62,SpVgg Unterhaching,€350K,RB
D. Wright,England,62,St. Johnstone FC,€425K,RM
C. Kane,Scotland,62,St. Johnstone FC,€425K,ST
G. MacKenzie,Scotland,62,St. Mirren,€170K,CB
M. Willock,England,62,St. Mirren,€525K,CM
I. McShane,Scotland,62,St. Mirren,€350K,CM
R. Edwards,Australia,62,St. Mirren,€375K,LM
S. Jackson,Canada,62,St. Mirren,€270K,LS
A. Jones,England,62,St. Mirren,€475K,RCB
S. McGinn,Scotland,62,St. Mirren,€290K,RCM
D. Mullen,Scotland,62,St. Mirren,€400K,ST
B. Clarke,Republic of Ireland,62,St. Patrick's Athletic,€170K,GK
I. Bermingham,Republic of Ireland,62,St. Patrick's Athletic,€230K,LB
C. Fagan,Republic of Ireland,62,St. Patrick's Athletic,€300K,ST
F. Valen?i?,Slovenia,62,Stabæk Fotball,€375K,CAM
R. Hernández,Venezuela,62,Stabæk Fotball,€600K,RB
D. Granli,Norway,62,Stabæk Fotball,€375K,RCB
I. Diallo,France,62,Stade Brestois 29,€650K,CM
V. Pinson,France,62,Stade de Reims,€425K,ST
W. Balikwisha,Belgium,62,Standard de Liège,€575K,RM
L. Wilkinson,England,62,Stevenage,€300K,CB
J. Campbell-Ryce,Jamaica,62,Stevenage,€130K,LM
O. Shenton,England,62,Stoke City,€575K,CM
M. Hamoud,Norway,62,Strømsgodset IF,€120K,LB
J. Sinclair,England,62,Sunderland,€525K,ST
F. Stritzel,Germany,62,SV Darmstadt 98,€290K,GK
R. Sattelmaier,Germany,62,SV Darmstadt 98,€190K,GK
R. Renner,Austria,62,SV Mattersburg,€375K,LM
Jefté,Spain,62,SV Mattersburg,€400K,ST
F. Senninger,Germany,62,SV Meppen,€350K,LB
A. Rossipal,Germany,62,SV Sandhausen,€375K,LB
L. Watkowiak,Germany,62,SV Wehen Wiesbaden,€300K,GK
N. Shipnoski,Germany,62,SV Wehen Wiesbaden,€550K,RM
U. Nissilä,Finland,62,SV Zulte-Waregem,€425K,CAM
G. Zabret,Slovenia,62,Swansea City,€375K,GK
M. Taylor,England,62,Swindon Town,€30K,CDM
J. Dunne,England,62,Swindon Town,€300K,RCM
J. McGlashan,England,62,Swindon Town,€290K,RM
P. Retre,Australia,62,Sydney FC,€300K,RM
Du Jia,China PR,62,Tianjin TEDA FC,€290K,GK
Cao Yang,China PR,62,Tianjin TEDA FC,€40K,RCB
Zhang Chiming,China PR,62,Tianjin TEDA FC,€300K,RM
J. Cruz,Mexico,62,Tigres U.A.N.L.,€450K,CB
J. Díaz,Mexico,62,Tigres U.A.N.L.,€450K,LB
Jon Bakero,Spain,62,Toronto FC,€425K,CF
A. Georgiou,Cyprus,62,Tottenham Hotspur,€575K,LM
M. Goncalves,France,62,Toulouse Football Club,€400K,LB
H. Türkmen,Turkey,62,Trabzonspor,€400K,CB
R. Sutton,England,62,Tranmere Rovers,€170K,CB
O. Banks,England,62,Tranmere Rovers,€375K,LCM
A. Tideman,Sweden,62,Trelleborgs FF,€290K,LB
M. Håkansson,Sweden,62,Trelleborgs FF,€375K,LM
F. Motori,Sweden,62,Trelleborgs FF,€400K,LM
K. Sarkodie,United States,62,Trelleborgs FF,€280K,RB
S. Ohlsson,Sweden,62,Trelleborgs FF,€350K,RCM
M. Pode,Sweden,62,Trelleborgs FF,€240K,ST
O. Karlsson,Iceland,62,Trelleborgs FF,€450K,ST
D. Otto,Germany,62,TSG 1899 Hoffenheim,€650K,ST
J. Mauersberger,Germany,62,TSV 1860 München,€120K,CB
M. Hiller,Germany,62,TSV 1860 München,€325K,GK
A. Berzel,Germany,62,TSV 1860 München,€300K,RCB
M. Willsch,Germany,62,TSV 1860 München,€325K,RM
S. Rasswalder,Austria,62,TSV Hartberg,€200K,LB
I. Ljubi?,Austria,62,TSV Hartberg,€475K,LDM
A. Iniestra,Mexico,62,U.N.A.M.,€475K,RDM
B. Lozano,Mexico,62,U.N.A.M.,€550K,RW
Callejón,Spain,62,UD Almería,€525K,CM
Abenza,Spain,62,UD Almería,€425K,CM
Josep Martínez,Spain,62,UD Las Palmas,€475K,GK
Seol Tae Soo,Korea Republic,62,Ulsan Hyundai FC,€425K,CAM
Kim Geon Ung,Korea Republic,62,Ulsan Hyundai FC,€475K,CDM
Bae Jae Woo,Korea Republic,62,Ulsan Hyundai FC,€325K,RB
J. Papaleo,Argentina,62,Unión de Santa Fe,€325K,GK
V. Méndez,Chile,62,Unión Española,€400K,CDM
W. Piñones,Chile,62,Unión La Calera,€230K,LB
Z. Ljubijanki?,Slovenia,62,Urawa Red Diamonds,€160K,ST
G. Perrulli,Italy,62,US Cremonese,€180K,LW
G. Mutombo,France,62,US Orléans Loiret Football,€375K,CB
R. Droehnle,France,62,US Orléans Loiret Football,€600K,CB
D. Avounou,Congo,62,US Orléans Loiret Football,€525K,LCM
J. Tell,France,62,US Orléans Loiret Football,€475K,LM
André Anderson,Brazil,62,US Salernitana 1919,€625K,CF
A. Palumbo,Italy,62,US Salernitana 1919,€425K,CM
S. Nakahara,Japan,62,V-Varen Nagasaki,€400K,CM
T. Sawada,Japan,62,V-Varen Nagasaki,€325K,RW
Emilio Bernad,Spain,62,Valencia CF,€500K,GK
Álex Blanco,Spain,62,Valencia CF,€575K,LM
S. Ambri,France,62,Valenciennes FC,€525K,ST
S. Friðjónsson,Iceland,62,Vålerenga Fotball,€500K,CM
K. Seki,Japan,62,Vegalta Sendai,€170K,GK
D. Schmidt,Japan,62,Vegalta Sendai,€260K,GK
V. Emmersón,Congo,62,Vejle Boldklub,€375K,CB
K. Memija,Bosnia Herzegovina,62,Vejle Boldklub,€375K,RWB
F. Ortega,Argentina,62,Vélez Sarsfield,€575K,LB
N. Delgadillo,Argentina,62,Vélez Sarsfield,€675K,LW
M. Frankoch,Denmark,62,Vendsyssel FF,€425K,CDM
E. Ogude,Nigeria,62,Vendsyssel FF,€400K,ST
S. Adekoya,United States,62,Vendsyssel FF,€425K,ST
J. Segre,Italy,62,Venezia FC,€475K,CM
D. Facchin,Italy,62,Venezia FC,€180K,GK
D. Kopacz,Poland,62,VfB Stuttgart,€650K,CAM
L. Dajaku,Germany,62,VfB Stuttgart,€600K,ST
M. Pantovi?,Serbia,62,VfL Bochum 1848,€450K,LM
T. Schmidt,Germany,62,VfL Sportfreunde Lotte,€375K,RM
J. Yeboah,Germany,62,VfL Wolfsburg,€675K,LM
Quinti,Spain,62,Villarreal CF,€375K,LB
Rubén Mesa,Spain,62,Villarreal CF,€375K,ST
S. Otsuki,Japan,62,Vissel Kobe,€300K,CF
T. Bunmathan,Thailand,62,Vissel Kobe,€240K,LB
W. Hashimoto,Japan,62,Vissel Kobe,€200K,LB
Baba Fernandes,Guinea Bissau,62,Vitória de Setúbal,€450K,CB
I. Osbourne,England,62,Walsall,€280K,CM
M. Kouhyar,Afghanistan,62,Walsall,€450K,LM
K. Wilson,England,62,Walsall,€425K,RB
Z. Elbouzedi,Republic of Ireland,62,Waterford FC,€575K,CAM
C. Duffus,Republic of Ireland,62,Waterford FC,€450K,LS
M. Makasi,England,62,West Ham United,€425K,CM
N. Holland,England,62,West Ham United,€675K,LM
R. Mahazi,Australia,62,Western Sydney Wanderers,€325K,CDM
K. Baccus,Australia,62,Western Sydney Wanderers,€475K,RCM
A. D?wiga?a,Poland,62,Wis?a P?ock,€350K,LCB
Carlitos,Portugal,62,Wis?a P?ock,€375K,LM
C. Stefa?czyk,Poland,62,Wis?a P?ock,€90K,RB
O. Zawada,Poland,62,Wis?a P?ock,€400K,ST
S. Sprangler,Austria,62,Wolfsberger AC,€400K,CM
J. Kitolano,Norway,62,Wolverhampton Wanderers,€550K,LWB
Y. Ma-Kalambay,DR Congo,62,Wycombe Wanderers,€170K,GK
N. Freeman,England,62,Wycombe Wanderers,€425K,LW
A. Ild?z,Turkey,62,Yeni Malatyaspor,€400K,CDM
M. Eskihellaç,Turkey,62,Yeni Malatyaspor,€450K,LM
S. Nelson,England,62,Yeovil Town,€40K,GK
J. Gray,England,62,Yeovil Town,€400K,RM
Y. Arquin,France,62,Yeovil Town,€290K,RM
A. Fisher,England,62,Yeovil Town,€325K,RS
D. Sugimoto,Japan,62,Yokohama F. Marinos,€280K,GK
S. Bali?,Montenegro,62,Zag??bie Lubin,€240K,LB
L. Moneta,Poland,62,Zag??bie Lubin,€400K,LM
D. Kud?a,Poland,62,Zag??bie Sosnowiec,€270K,GK
M. Pribula,Slovakia,62,Zag??bie Sosnowiec,€240K,LM
N. Boxall,New Zealand,62,,€0,CB
M. Raynov,Bulgaria,62,,€0,CDM
C. Arano,Bolivia,62,,€0,CM
A. Edathodika,India,62,,€0,LCB
T. Payne,New Zealand,62,,€0,LCM
O. Steurer,Germany,63,1. FC Heidenheim 1846,€500K,CB
M. Multhaup,Germany,63,1. FC Heidenheim 1846,€575K,RM
P. Schmidt,Germany,63,1. FC Heidenheim 1846,€500K,ST
D. Schad,Germany,63,1. FC Kaiserslautern,€450K,RB
C. Führich,Germany,63,1. FC Köln,€650K,CM
N. Nartey,Denmark,63,1. FC Köln,€750K,CM
J. Abu Hanna,Germany,63,1. FC Magdeburg,€575K,LB
C. Laprevotte,France,63,1. FC Magdeburg,€400K,RCM
F. Børsting,Denmark,63,Aalborg BK,€525K,RM
M. Spelmann,Denmark,63,Aarhus GF,€325K,RM
A. Riel,Denmark,63,Aarhus GF,€375K,ST
S. Wright,Scotland,63,Aberdeen,€650K,LM
M. Tramoni,France,63,AC Ajaccio,€750K,RM
M. Nielsen,Denmark,63,AC Horsens,€350K,RCB
Pistu,Spain,63,AD Alcorcón,€475K,CB
Jaime Gavilán,Spain,63,AD Alcorcón,€220K,CM
Arribas,Spain,63,AD Alcorcón,€650K,ST
T. Regan,Australia,63,Adelaide United,€290K,CB
V. Lia,Australia,63,Adelaide United,€150K,CDM
M. Marrone,Australia,63,Adelaide United,€240K,RB
N. Mileusni?,Australia,63,Adelaide United,€475K,RW
B. Purrington,England,63,AFC Wimbledon,€425K,LB
W. Nightingale,England,63,AFC Wimbledon,€475K,RCB
M. Pinnock,England,63,AFC Wimbledon,€500K,RM
J. Pigott,England,63,AFC Wimbledon,€500K,RS
J. Hanson,England,63,AFC Wimbledon,€350K,ST
H. Rashidi,Sweden,63,AIK,€400K,LWB
O. Güler,Turkey,63,Akhisar Belediyespor,€500K,CAM
M. Al Anazi,Saudi Arabia,63,Al Batin,€260K,GK
S. Al Mutairi,Saudi Arabia,63,Al Batin,€300K,RCB
F. Al Yamani,Saudi Arabia,63,Al Faisaly,€300K,CDM
W. Suwayyid,Saudi Arabia,63,Al Faisaly,€270K,LB
M. Hamzi,Saudi Arabia,63,Al Fateh,€425K,RM
A. Bangoura,Guinea,63,Al Fateh,€550K,RM
H. Al Juhayyim,Saudi Arabia,63,Al Fateh,€350K,ST
A. Kanno,Saudi Arabia,63,Al Fayha,€300K,CB
N. Al Subhi,Saudi Arabia,63,Al Fayha,€300K,CB
H. Jafry,Saudi Arabia,63,Al Fayha,€325K,CDM
M. Al Furayj,Saudi Arabia,63,Al Fayha,€240K,GK
S. Al Khaibari,Saudi Arabia,63,Al Fayha,€300K,RCB
A. Al Barakah,Saudi Arabia,63,Al Fayha,€300K,RCM
A. Dagriri,Saudi Arabia,63,Al Hazem,€260K,GK
A. Jafar,Saudi Arabia,63,Al Hazem,€475K,RM
M. Al Saiari,Saudi Arabia,63,Al Hazem,€450K,ST
A. Sharahili,Saudi Arabia,63,Al Hilal,€475K,CB
K. Al Samiri,Saudi Arabia,63,Al Ittihad,€600K,CM
A. Al Najjar,Saudi Arabia,63,Al Ittihad,€650K,RM
W. Abdullah,Saudi Arabia,63,Al Nassr,€210K,GK
A. Al Owayshir,Saudi Arabia,63,Al Nassr,€290K,GK
S. Al Ghannam,Saudi Arabia,63,Al Nassr,€400K,RB
A. Fallatah,Saudi Arabia,63,Al Qadisiyah,€425K,CB
H. Al Amiri,Saudi Arabia,63,Al Qadisiyah,€475K,LM
F. Fallatah,Saudi Arabia,63,Al Qadisiyah,€290K,RCB
H. Camara,Saudi Arabia,63,Al Qadisiyah,€825K,ST
A. Al Sulayhim,Saudi Arabia,63,Al Shabab,€425K,CDM
N. Mousa,Saudi Arabia,63,Al Taawoun,€240K,LB
A. Al Nemer,Saudi Arabia,63,Al Wehda,€425K,CAM
S. Amro,Saudi Arabia,63,Al Wehda,€290K,LB
A. Abdu Jaber,Eritrea,63,Al Wehda,€475K,ST
Diego Barri,Spain,63,Albacete BP,€550K,CDM
J. Mvondo,Cameroon,63,Albacete BP,€475K,CDM
M. Malsa,France,63,Albacete BP,€475K,CM
Ángel,Spain,63,Albacete BP,€625K,LB
Paulo Vitor,Brazil,63,Albacete BP,€800K,RW
D. Barreto,Paraguay,63,Alianza Petrolera,€475K,CAM
D. Valencia,Colombia,63,Alianza Petrolera,€350K,CB
P. Grazziani,Colombia,63,Alianza Petrolera,€400K,GK
Neto,Brazil,63,América de Cali,€350K,GK
D. Bertrand,France,63,Angers SCO,€475K,LM
F. Doré,Congo,63,Angers SCO,€375K,ST
B. Öksüz,Turkey,63,Antalyaspor,€550K,LB
D. Sinik,Turkey,63,Antalyaspor,€800K,LM
F. Barboza,Argentina,63,Argentinos Juniors,€650K,RW
C. Bramall,England,63,Arsenal,€425K,LB
S. Gbegnon,Togo,63,AS Béziers,€400K,CDM
R. Aabid,France,63,AS Béziers,€425K,RM
J. Gaspar,France,63,AS Monaco,€575K,RB
C. Maboulou,Congo,63,AS Nancy Lorraine,€375K,CAM
T. Badila,Congo,63,AS Nancy Lorraine,€400K,LB
W. Saliba,France,63,AS Saint-Étienne,€650K,CB
I. De Santis,Italy,63,Ascoli,€575K,CB
G. Ingrosso,Italy,63,Ascoli,€325K,CB
P. Zebli,Ivory Coast,63,Ascoli,€550K,CDM
E. Baldini,Italy,63,Ascoli,€625K,LW
A. Reca,Poland,63,Atalanta,€425K,LB
M. Tumminello,Italy,63,Atalanta,€800K,ST
M. Ambrose,United States,63,Atlanta United,€400K,LB
B. Vazquez,United States,63,Atlanta United,€700K,ST
Y. Asprilla,Colombia,63,Atlético Bucaramanga,€450K,LM
H. Gómez,Colombia,63,Atlético Bucaramanga,€375K,RB
Y. Filigrana,Colombia,63,Atlético Bucaramanga,€375K,RM
L. Trejo,Argentina,63,Atlético Huila,€270K,CB
M. Berrío,Colombia,63,Atlético Huila,€625K,CB
S. Herrera,Colombia,63,Atlético Huila,€525K,ST
M. Barreiro,Argentina,63,Atlético Huila,€230K,ST
Tachi,Spain,63,Atlético Madrid,€725K,CB
Toni Moya,Spain,63,Atlético Madrid,€800K,CM
Joaquín,Spain,63,Atlético Madrid,€700K,LM
Carlos Isaac,Spain,63,Atlético Madrid,€625K,RB
Josi Mouraldo,Brazil,63,Atlético Paranaense,€400K,CAM
J. Muñoz,Chile,63,Audax Italiano,€290K,GK
J. Jacobs,Netherlands,63,AZ Alkmaar,€650K,CM
M. Bähre,Germany,63,Barnsley,€575K,CAM
C. McGeehan,Northern Ireland,63,Barnsley,€550K,RCM
R. Hedges,Wales,63,Barnsley,€575K,RM
T. Ünlü,Germany,63,BB Erzurumspor,€290K,RB
U. Yuvakuran,Turkey,63,Be?ikta? JK,€575K,GK
G. Yalçin,Turkey,63,Be?ikta? JK,€650K,ST
Rao Weihui,China PR,63,Beijing Renhe FC,€280K,LB
N. Ependi,China PR,63,Beijing Renhe FC,€300K,RB
Chi Wenyi,China PR,63,Beijing Sinobo Guoan FC,€240K,GK
Jin Taiyan,China PR,63,Beijing Sinobo Guoan FC,€290K,LB
P. Heredia,Argentina,63,Belgrano de Córdoba,€300K,GK
J. Quiroga,Argentina,63,Belgrano de Córdoba,€40K,LB
P. Gori,Italy,63,Benevento,€20K,GK
D. Scarr,England,63,Birmingham City,€425K,CB
C. Lakin,England,63,Birmingham City,€775K,CM
J. Hammar,Sweden,63,BK Häcken,€425K,CB
C. Källqvist,Sweden,63,BK Häcken,€150K,GK
J. Davenport,England,63,Blackburn Rovers,€725K,CDM
J. Bunney,England,63,Blackpool,€400K,LB
N. Delfouneso,England,63,Blackpool,€375K,RM
O. Turton,England,63,Blackpool,€375K,RWB
Gabriel Nunes,Brazil,63,Boavista FC,€400K,CDM
J. Beyer,Germany,63,Borussia Mönchengladbach,€675K,RB
M. Palacios,Colombia,63,Boyacá Chicó FC,€625K,CAM
J. Mosquera,Colombia,63,Boyacá Chicó FC,€425K,LCB
J. Monroy,Armenia,63,Boyacá Chicó FC,€475K,RB
J. Gómez,Colombia,63,Boyacá Chicó FC,€270K,RCM
J. Wright,England,63,Bradford City,€375K,CM
J. O'Brien,Scotland,63,Bradford City,€350K,CM
K. Mellor,England,63,Bradford City,€350K,RB
J. Dasilva,England,63,Brentford,€675K,CM
A. Cistana,Italy,63,Brescia,€525K,CB
L. Andrenacci,Italy,63,Brescia,€350K,GK
L. Walsh,England,63,Bristol City,€650K,CM
A. Smith,England,63,Bristol Rovers,€325K,GK
M. Camara,Guinea,63,BSC Young Boys,€725K,CB
M. ?engezer,Turkey,63,Bursaspor,€500K,GK
S. Bywater,England,63,Burton Albion,€20K,GK
C. Styles,England,63,Bury,€750K,CM
N. Danns,Guyana,63,Bury,€150K,CM
Juan Pérez,Spain,63,CA Osasuna,€500K,GK
Endika,Spain,63,CA Osasuna,€450K,LB
Juan Hernández,Spain,63,Cádiz CF,€500K,RM
R. Lambe,Bermuda,63,Cambridge United,€375K,LM
D. Amoo,England,63,Cambridge United,€375K,RM
B. Corr,Republic of Ireland,63,Cambridge United,€230K,ST
J. Kennedy,England,63,Carlisle United,€325K,CM
D. Grainger,England,63,Carlisle United,€240K,LB
M. Jones,England,63,Carlisle United,€350K,LCM
M. Collao,Chile,63,CD Antofagasta,€800K,CAM
H. Cavero,Chile,63,CD Antofagasta,€550K,CB
J. Flores,Chile,63,CD Antofagasta,€600K,LW
R. Contreras,Argentina,63,CD Antofagasta,€550K,ST
G. Alucema,Chile,63,CD Everton de Viña del Mar,€375K,RB
João Tavares,Portugal,63,CD Feirense,€600K,CM
Diga,Portugal,63,CD Feirense,€500K,RB
Zé Pedro,Portugal,63,CD Feirense,€550K,RM
Jaime Sierra,Spain,63,CD Leganés,€700K,CM
O. Framelin,Cameroon,63,CD Nacional,€375K,GK
M. Salas,Argentina,63,CD O'Higgins,€600K,LM
S. Pérez,Chile,63,CD Palestino,€290K,GK
I. Ayala,Chile,63,CD Palestino,€575K,RB
G. Soto,Chile,63,CD Palestino,€400K,RB
F. Barrientos,Chile,63,CD Palestino,€700K,RM
Bolaños,Spain,63,CD Tenerife,€550K,CM
S. Chilunda,Tanzania,63,CD Tenerife,€525K,ST
Jaquité,Guinea Bissau,63,CD Tondela,€525K,CDM
P. Sabbag,Colombia,63,CD Tondela,€825K,ST
D. Soto,Chile,63,CD Universidad de Concepción,€700K,LB
S. Pino,Chile,63,CD Universidad de Concepción,€525K,ST
Felipe Soldivia,Brazil,63,Ceará Sporting Club,€350K,CAM
M. Johnston,Scotland,63,Celtic,€800K,LM
C. Pain,Australia,63,Central Coast Mariners,€475K,RS
Y. Tanaka,Japan,63,Cerezo Osaka,€200K,RB
Guerrero,Spain,63,CF Rayo Majadahonda,€625K,CM
Ander Cantero,Spain,63,CF Rayo Majadahonda,€375K,GK
Gonzalo Pereira,Spain,63,CF Reus Deportiu,€475K,CB
M. Sans,France,63,Chamois Niortais Football Club,€270K,CB
D. Djigla,Benin,63,Chamois Niortais Football Club,€500K,RM
Zhang Xiaofei,China PR,63,Changchun Yatai FC,€80K,LB
Tan Tiancheng,China PR,63,Changchun Yatai FC,€425K,ST
Maicon Sampinho,Brazil,63,Chapecoense,€400K,ST
K. Bielik,Poland,63,Charlton Athletic,€725K,CB
A. Dijksteel,Netherlands,63,Charlton Athletic,€550K,RB
S. Flinders,England,63,Cheltenham Town,€210K,GK
T. Barnett,England,63,Cheltenham Town,€290K,RS
L. McAlinden,Republic of Ireland,63,Cheltenham Town,€475K,ST
G. Lillard,United States,63,Chicago Fire,€500K,CB
R. Sánchez,Mexico,63,Chicago Fire,€375K,GK
J. Corrales,Cuba,63,Chicago Fire,€350K,LB
D. Campos,Costa Rica,63,Chicago Fire,€400K,RB
M. Rigione,Italy,63,Chievo Verona,€300K,CB
Wu Qing,China PR,63,Chongqing Dangdai Lifan FC SWM Team,€120K,LM
Chen Lei,China PR,63,Chongqing Dangdai Lifan FC SWM Team,€200K,RB
G. Panico,Italy,63,Cittadella,€600K,ST
M. Kavdanski,Bulgaria,63,Clermont Foot 63,€250K,CB
L. Soares,France,63,Clermont Foot 63,€375K,LB
O. León,Mexico,63,Club América,€575K,CB
D. Zamora,Mexico,63,Club América,€625K,CB
S. Hernández,Mexico,63,Club Atlas,€575K,GK
L. Kruspzky,Argentina,63,Club Atlético Aldosivi,€375K,LB
L. Sapetti,Argentina,63,Club Atlético Aldosivi,€280K,LB
E. Ozuna,Argentina,63,Club Atlético Aldosivi,€625K,LM
I. Quílez,Argentina,63,Club Atlético Aldosivi,€290K,RB
C. Bravo,Argentina,63,Club Atlético Banfield,€550K,LB
J. Aylagas,Argentina,63,Club Atlético Colón,€400K,GK
G. Guerra,Argentina,63,Club Atlético Huracán,€500K,ST
P. Martínez,Paraguay,63,Club Atlético Lanús,€600K,LW
F. Coniglio,Argentina,63,Club Atlético Lanús,€450K,ST
S. Sosa,Venezuela,63,Club Atlético Talleres,€750K,LM
E. Rodríguez,Argentina,63,Club Atlético Tigre,€350K,CB
B. Baiye,Belgium,63,Club Brugge KV,€650K,CDM
C. Ngonge,Belgium,63,Club Brugge KV,€850K,ST
M. Aceval,Chile,63,Club Deportes Temuco,€80K,LB
L. Casanova,Chile,63,Club Deportes Temuco,€375K,RCB
L. Campana,Argentina,63,Club Deportes Temuco,€475K,ST
C. González,Mexico,63,Club León,€450K,ST
A. Mayorga,Mexico,63,Club Necaxa,€625K,LB
B. Comley,Montserrat,63,Colchester United,€525K,CM
M. Mandron,France,63,Colchester United,€525K,ST
P. Soto,Chile,63,Colo-Colo,€450K,GK
M. McNulty,Republic of Ireland,63,Cork City,€20K,GK
K. Dermaku,Albania,63,Cosenza,€375K,RCB
E. Bearzotti,Italy,63,Cosenza,€600K,RW
L. Burge,England,63,Coventry City,€350K,GK
T. Bayliss,England,63,Coventry City,€775K,RDM
A. Bakayoko,Sierra Leone,63,Coventry City,€500K,ST
M. Peškovi?,Slovakia,63,Cracovia,€50K,GK
S. Zenjov,Estonia,63,Cracovia,€350K,RM
J. McNerney,England,63,Crawley Town,€325K,CB
J. Smith,England,63,Crawley Town,€325K,CM
G. Morris,England,63,Crawley Town,€150K,GK
P. Green,Republic of Ireland,63,Crewe Alexandra,€150K,CM
S. Miller,England,63,Crewe Alexandra,€350K,LS
N. Zanellato,Italy,63,Crotone,€625K,CM
A. Romero,Venezuela,63,Crotone,€550K,CM
N. Rebolledo,Chile,63,Curicó Unido,€200K,LB
D. Franco,Argentina,63,Curicó Unido,€375K,LCB
C. Díaz,Chile,63,Curicó Unido,€475K,RB
Kim Dae Won,Korea Republic,63,Daegu FC,€650K,LW
Kim Jin Hyuk,Korea Republic,63,Daegu FC,€450K,RCB
Lim Jae Hyeok,Korea Republic,63,Daegu FC,€800K,ST
Yu Ziqian,China PR,63,Dalian YiFang FC,€190K,GK
S. Suljevic,Sweden,63,Dalkurd FF,€500K,CM
J. Jeffrey,United States,63,DC United,€300K,CDM
T. Worra,United States,63,DC United,€325K,GK
B. Miranda,Bolivia,63,DC United,€600K,ST
I. Huguenet,Argentina,63,Defensa y Justicia,€725K,ST
J. Ramos,Colombia,63,Deportes Tolima,€450K,RM
Álex Domínguez,Spain,63,Deportivo Alavés,€650K,GK
Fornos,Spain,63,Deportivo de La Coruña,€550K,CB
Uxío,Spain,63,Deportivo de La Coruña,€400K,ST
C. Calvo,Mexico,63,Deportivo Toluca,€400K,CB
A. Mora,Mexico,63,Deportivo Toluca,€475K,CB
J. Bogle,England,63,Derby County,€650K,RB
E. Loiodice,France,63,Dijon FCO,€800K,LDM
D. Kozica,Sweden,63,Djurgårdens IF,€475K,RM
I. Lawlor,Republic of Ireland,63,Doncaster Rovers,€400K,GK
M. Maroši,Slovakia,63,Doncaster Rovers,€350K,GK
M. Wilks,England,63,Doncaster Rovers,€800K,RW
A. Lucoqui,Germany,63,DSC Arminia Bielefeld,€525K,LB
C. Özkan,Germany,63,DSC Arminia Bielefeld,€575K,RB
J. McGrath,Republic of Ireland,63,Dundalk,€600K,CAM
S. Hoare,Republic of Ireland,63,Dundalk,€450K,CB
G. Rogers,Republic of Ireland,63,Dundalk,€50K,GK
D. Cleary,Republic of Ireland,63,Dundalk,€500K,LCB
D. Connolly,Republic of Ireland,63,Dundalk,€550K,RM
J. Mountney,Republic of Ireland,63,Dundalk,€475K,RM
E. Parish,England,63,Dundee FC,€300K,GK
M. Fejzullahu,Albania,63,Eintracht Braunschweig,€475K,CAM
Redru,Spain,63,Elche CF,€550K,LB
Borja,Spain,63,Elche CF,€500K,LM
M. Caillard,France,63,En Avant de Guingamp,€375K,GK
N. Moreno,Colombia,63,Envigado FC,€600K,LM
W. de la Rosa,Colombia,63,Envigado FC,€500K,RS
J. Lauridsen,Denmark,63,Esbjerg fB,€350K,LB
J. Lungi Sørensen,Denmark,63,Esbjerg fB,€625K,RCM
B. Mbeumo,France,63,ESTAC Troyes,€750K,RM
C. Ben Saada,Tunisia,63,ESTAC Troyes,€190K,RM
M. Rosales,Argentina,63,Estudiantes de La Plata,€375K,RB
